age,female,black,white,born_usa,single,salary,degree,major,slf_emp,discrimination,happy,life
30.0,0,0,1,yes,yes,,bachelor,biology,someone else,0,very happy,exciting
56.0,0,0,1,yes,yes,19965.0,high school,,someone else,0,pretty happy,routine
,1,0,0,yes,,,high school,,someone else,0,very happy,
19.0,1,0,1,yes,,5445.0,high school,,someone else,0,pretty happy,
67.0,0,0,1,yes,yes,39930.0,high school,,someone else,1,pretty happy,routine
63.0,1,0,1,yes,yes,,high school,,self-employed,0,not too happy,exciting
37.0,1,0,1,yes,no,59895.0,bachelor,political science/international relations,someone else,0,very happy,routine
58.0,1,0,1,yes,yes,189211.0,graduate,medicine,someone else,0,pretty happy,exciting
64.0,1,0,1,yes,,,graduate,marketing,someone else,0,pretty happy,
37.0,1,0,1,yes,yes,189211.0,graduate,psychology,self-employed,0,pretty happy,routine
31.0,0,0,1,yes,yes,39930.0,bachelor,history,someone else,0,very happy,exciting
64.0,0,0,1,yes,,32670.0,bachelor,visual arts/graphic design/design and drafting,self-employed,0,very happy,
59.0,1,0,1,no,yes,87120.0,graduate,education,someone else,0,pretty happy,exciting
59.0,1,0,1,yes,yes,59895.0,graduate,education,someone else,0,pretty happy,exciting
71.0,0,0,1,yes,,87120.0,bachelor,engineering,someone else,0,pretty happy,
28.0,0,0,1,no,yes,39930.0,graduate,music,someone else,0,very happy,routine
76.0,1,1,0,yes,,,high school,,someone else,1,pretty happy,
34.0,1,0,0,yes,yes,5445.0,graduate,medicine,someone else,1,pretty happy,exciting
27.0,0,0,1,yes,yes,32670.0,bachelor,history,someone else,0,pretty happy,routine
26.0,1,0,1,yes,no,6534.0,bachelor,psychology,someone else,0,very happy,exciting
44.0,1,0,1,yes,no,59895.0,graduate,marketing,self-employed,0,pretty happy,routine
84.0,0,0,1,yes,,,junior college,law enforcement,someone else,0,not too happy,
37.0,0,0,1,yes,yes,72600.0,high school,,self-employed,0,pretty happy,exciting
82.0,1,0,1,yes,no,,junior college,accounting/bookkeeping,self-employed,0,pretty happy,exciting
29.0,0,0,0,no,no,23595.0,high school,,someone else,0,very happy,routine
32.0,0,0,0,no,yes,13612.0,graduate,environmental science/ecology,someone else,0,not too happy,exciting
23.0,1,0,0,no,,,high school,,,0,very happy,
42.0,1,0,1,yes,,39930.0,high school,,someone else,0,pretty happy,
58.0,1,0,1,yes,yes,13612.0,high school,,someone else,1,very happy,routine
33.0,1,0,1,yes,,6534.0,high school,,someone else,1,pretty happy,
