humancause,age,male,white,educ,income,party
0,39,1,1,11,14,1
0,65,0,1,11,8,3
0,77,1,1,11,17,3
1,51,1,1,11,18,6
0,47,0,1,12,18,5
0,29,0,0,7,14,5
1,29,0,1,13,15,6
0,63,0,0,12,14,7
1,47,1,1,12,14,3
0,54,1,1,11,16,7
0,52,0,1,12,17,5
0,18,1,1,9,18,1
0,46,0,1,15,18,2
0,34,1,0,10,11,3
0,19,0,1,9,21,1
0,35,1,0,16,17,3
1,46,1,1,11,14,6
0,60,0,1,11,13,3
0,72,1,0,13,15,6
0,65,0,1,11,18,2
0,38,1,1,12,16,2
0,42,0,1,15,18,7
0,52,0,1,11,9,7
1,71,0,1,12,14,7
0,45,0,1,12,16,7
0,21,1,1,12,18,1
0,71,1,1,12,16,3
0,69,1,1,13,11,2
0,29,0,0,12,9,5
0,51,1,1,15,18,1
1,21,0,1,12,5,5
0,37,1,0,15,19,1
1,41,0,0,12,18,6
1,37,1,1,14,16,7
0,61,1,1,15,15,2
1,57,1,1,14,16,7
0,61,0,1,12,15,2
0,19,1,0,12,18,6
1,46,0,1,13,18,2
0,35,0,0,14,16,3
1,58,1,1,11,9,4
1,32,1,1,14,14,3
0,85,1,1,14,16,3
0,68,0,0,11,10,7
0,23,1,1,13,9,1
1,52,0,1,13,16,6
0,42,1,1,16,20,2
0,61,0,1,11,15,6
1,61,1,1,15,11,5
0,29,0,1,14,18,1
1,47,1,1,12,3,5
1,22,0,0,12,9,5
1,52,1,0,12,6,7
0,70,0,1,13,15,1
1,51,0,1,13,19,5
0,80,0,1,11,12,2
1,25,1,0,11,8,7
0,35,1,1,11,19,3
0,24,1,0,12,20,6
1,74,1,1,14,11,7
1,20,1,0,12,11,5
1,70,1,0,15,17,5
0,51,1,1,12,9,3
0,38,0,1,11,12,1
0,63,1,1,12,12,2
0,61,0,1,13,15,1
1,56,1,1,9,10,7
0,47,1,1,11,11,3
0,60,0,1,12,9,3
1,53,1,1,12,18,5
0,26,0,0,11,9,5
1,34,0,1,14,13,6
0,79,1,1,14,16,3
1,68,0,1,14,18,6
1,21,1,1,12,20,6
1,56,0,1,11,16,7
1,80,0,1,11,17,5
0,66,1,1,11,13,3
0,48,0,1,14,18,1
0,44,1,1,12,16,1
0,29,0,0,10,16,7
0,60,1,1,12,16,1
0,53,1,1,12,9,5
0,53,1,1,13,15,1
1,20,0,1,12,9,3
0,69,1,1,15,21,2
1,55,1,1,11,9,5
0,49,0,0,11,7,3
0,69,1,0,11,6,7
